symbol,open,close,low,high,volume,date
DVM,13500.0,13800.0,13500.0,13800.0,41300.0,2022-11-24
DXP,7700.0,7800.0,7600.0,7900.0,53700.0,2022-11-24
DZM,3500.0,3500.0,3500.0,3500.0,0.0,2022-11-24
EBS,8600.0,8600.0,8600.0,8600.0,200.0,2022-11-24
ECI,27800.0,27800.0,27800.0,27800.0,0.0,2022-11-24
EID,18700.0,19600.0,18700.0,19600.0,600.0,2022-11-24
EVS,11800.0,11400.0,11200.0,12000.0,63500.0,2022-11-24
FID,1400.0,1400.0,1400.0,1600.0,99400.0,2022-11-24
GDW,17200.0,17200.0,17200.0,17200.0,100.0,2022-11-24
GEG,11000.0,11200.0,10800.0,11200.0,421800.0,2022-11-24
GIC,10300.0,11800.0,10300.0,12000.0,9500.0,2022-11-24
GKM,28100.0,28000.0,28000.0,28200.0,10100.0,2022-11-24
GLT,25000.0,25000.0,25000.0,25000.0,0.0,2022-11-24
GMA,44400.0,44400.0,44400.0,44400.0,0.0,2022-11-24
GMX,18300.0,17700.0,17600.0,18300.0,1700.0,2022-11-24
HAD,14900.0,14900.0,14900.0,14900.0,1000.0,2022-11-24
HAT,20800.0,20900.0,20800.0,21800.0,400.0,2022-11-24
HBS,4600.0,4700.0,4600.0,4700.0,5500.0,2022-11-24
HCC,8800.0,8800.0,8500.0,8800.0,3700.0,2022-11-24
HCT,16900.0,16900.0,16900.0,16900.0,0.0,2022-11-24
HDA,5300.0,5400.0,5300.0,5500.0,40600.0,2022-11-24
HDG,25450.0,25900.0,24650.0,26900.0,3036200.0,2022-11-24
HEV,35900.0,35900.0,35900.0,35900.0,0.0,2022-11-24
HGM,40000.0,40000.0,40000.0,40000.0,0.0,2022-11-24
HHC,88900.0,88900.0,88900.0,88900.0,0.0,2022-11-24
HHG,1400.0,1500.0,1400.0,1500.0,132800.0,2022-11-24
HJS,34000.0,34000.0,34000.0,34000.0,100.0,2022-11-24
HKT,7000.0,7000.0,7000.0,7000.0,0.0,2022-11-24
HLC,7400.0,7500.0,7400.0,7500.0,500.0,2022-11-24
HLD,25400.0,25200.0,25000.0,25500.0,7900.0,2022-11-24
HMH,10400.0,10400.0,10400.0,10400.0,3000.0,2022-11-24
HMR,6500.0,6500.0,6500.0,6500.0,0.0,2022-11-24
HOM,4400.0,4500.0,4200.0,4700.0,13000.0,2022-11-24
HTC,16000.0,16000.0,16000.0,16000.0,0.0,2022-11-24
HTP,41900.0,41300.0,40000.0,41900.0,182400.0,2022-11-24
HUT,13600.0,13800.0,13200.0,14000.0,713900.0,2022-11-24
HVT,40100.0,43900.0,39800.0,43900.0,2500.0,2022-11-24
ICG,4900.0,5600.0,4900.0,5700.0,2800.0,2022-11-24
IDC,27200.0,29600.0,27200.0,29600.0,3928500.0,2022-11-24
IDJ,6000.0,6600.0,5600.0,6600.0,3157300.0,2022-11-24
IDV,29200.0,29600.0,29000.0,29600.0,4100.0,2022-11-24
INC,15500.0,15500.0,15500.0,15500.0,0.0,2022-11-24
INN,40800.0,40800.0,40800.0,40800.0,0.0,2022-11-24
IPA,10300.0,10500.0,9900.0,10500.0,306800.0,2022-11-24
ITQ,2500.0,2300.0,2100.0,2500.0,413400.0,2022-11-24
