symbol,open,close,low,high,volume,date
MCF,7600.0,7600.0,7600.0,7600.0,2100.0,2022-11-25
MCO,4000.0,4200.0,4000.0,4200.0,22900.0,2022-11-25
MDC,6100.0,6200.0,6000.0,6500.0,2900.0,2022-11-25
MED,21500.0,22300.0,21500.0,22300.0,7400.0,2022-11-25
MEL,10700.0,10700.0,10700.0,10700.0,100.0,2022-11-25
MHL,6000.0,6000.0,6000.0,6000.0,0.0,2022-11-25
MIM,4200.0,4200.0,4200.0,4200.0,0.0,2022-11-25
MKV,9500.0,9500.0,9500.0,9500.0,0.0,2022-11-25
MML,39000.0,40200.0,39000.0,40200.0,5000.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSN,91500.0,89000.0,88000.0,91500.0,1043500.0,2022-11-25
MSR,10100.0,10300.0,9900.0,10300.0,109300.0,2022-11-25
MST,4400.0,4200.0,4200.0,4400.0,1292500.0,2022-11-25
MVB,19000.0,19000.0,19000.0,19000.0,0.0,2022-11-25
NAG,11000.0,11000.0,10900.0,11000.0,191100.0,2022-11-25
NAP,11600.0,11600.0,11600.0,11600.0,0.0,2022-11-25
NBC,7100.0,6900.0,6600.0,7100.0,85900.0,2022-11-25
NBP,11500.0,11500.0,11500.0,11500.0,0.0,2022-11-25
NBW,18000.0,18000.0,18000.0,18000.0,1900.0,2022-11-25
NDN,6100.0,6600.0,6100.0,6600.0,116600.0,2022-11-25
NDX,5600.0,5800.0,5600.0,5800.0,400.0,2022-11-25
NET,43500.0,43500.0,43500.0,43500.0,0.0,2022-11-25
NFC,10100.0,10100.0,10100.0,10100.0,0.0,2022-11-25
NHC,29000.0,29000.0,29000.0,29000.0,0.0,2022-11-25
NRC,5000.0,5000.0,5000.0,5000.0,35800.0,2022-11-25
NSH,3800.0,3900.0,3800.0,4100.0,81800.0,2022-11-25
NST,6200.0,6200.0,6200.0,6200.0,0.0,2022-11-25
NTH,45000.0,45000.0,45000.0,45000.0,0.0,2022-11-25
NTP,30800.0,31300.0,30700.0,31300.0,25500.0,2022-11-25
NVB,16200.0,15100.0,15100.0,16200.0,7200.0,2022-11-25
NVL,21950.0,21950.0,21950.0,21950.0,3276100.0,2022-11-25
OCH,7000.0,7000.0,7000.0,7000.0,0.0,2022-11-25
ONE,6200.0,6400.0,6200.0,6400.0,2300.0,2022-11-25
PBP,10700.0,10100.0,10100.0,11000.0,31200.0,2022-11-25
PCE,26700.0,26700.0,26700.0,26700.0,0.0,2022-11-25
PCG,6500.0,7300.0,6500.0,7300.0,11200.0,2022-11-25
PCH,4300.0,4000.0,3900.0,4300.0,3200.0,2022-11-25
PCT,5600.0,6000.0,5600.0,6000.0,6000.0,2022-11-25
PDB,10000.0,10200.0,9900.0,10500.0,8700.0,2022-11-25
PEN,10800.0,10800.0,10800.0,10800.0,0.0,2022-11-25
PGN,6900.0,7200.0,6700.0,7200.0,115500.0,2022-11-25
PGS,26500.0,26000.0,26000.0,27000.0,4500.0,2022-11-25
PGT,2900.0,3000.0,2900.0,3100.0,2500.0,2022-11-25
PHN,36700.0,36700.0,36700.0,36700.0,0.0,2022-11-25
PIA,25300.0,25300.0,25300.0,25300.0,0.0,2022-11-25
PIC,15300.0,15300.0,15300.0,15300.0,0.0,2022-11-25
PJC,23000.0,23000.0,23000.0,23000.0,0.0,2022-11-25
PLC,16700.0,16700.0,16500.0,17200.0,120700.0,2022-11-25
PMB,9800.0,9800.0,9800.0,9900.0,900.0,2022-11-25
PMC,68000.0,66000.0,66000.0,68000.0,1100.0,2022-11-25
PMP,8700.0,8700.0,8700.0,8700.0,0.0,2022-11-25
PMS,25200.0,25200.0,25200.0,25200.0,100.0,2022-11-25
POT,19800.0,19800.0,19800.0,19800.0,100.0,2022-11-25
PPE,16900.0,16900.0,16900.0,16900.0,0.0,2022-11-25
PPP,12500.0,12500.0,12500.0,12500.0,0.0,2022-11-25
PPS,9300.0,10600.0,9300.0,10600.0,200.0,2022-11-25
PPY,6900.0,6900.0,6900.0,6900.0,0.0,2022-11-25
PRC,28000.0,28000.0,28000.0,28000.0,0.0,2022-11-25
PRE,16800.0,16800.0,16800.0,16800.0,100.0,2022-11-25
PSC,12500.0,12500.0,12500.0,12500.0,0.0,2022-11-25
PSD,15400.0,15000.0,14500.0,15400.0,8100.0,2022-11-25
PSE,10400.0,10500.0,10400.0,10500.0,500.0,2022-11-25
